Date,FIPS,MMWR_week,Recip_County,Recip_State,Completeness_pct,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Series_Complete_5to17,Series_Complete_5to17Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Booster_Doses,Booster_Doses_Vax_Pct,Booster_Doses_5Plus,Booster_Doses_5Plus_Vax_Pct,Booster_Doses_12Plus,Booster_Doses_12Plus_Vax_Pct,Booster_Doses_18Plus,Booster_Doses_18Plus_Vax_Pct,Booster_Doses_50Plus,Booster_Doses_50Plus_Vax_Pct,Booster_Doses_65Plus,Booster_Doses_65Plus_Vax_Pct,Second_Booster_50Plus,Second_Booster_50Plus_Vax_Pct,Second_Booster_65Plus,Second_Booster_65Plus_Vax_Pct,SVI_CTGY,Series_Complete_Pop_Pct_SVI,Series_Complete_5PlusPop_Pct_SVI,Series_Complete_5to17Pop_Pct_SVI,Series_Complete_12PlusPop_Pct_SVI,Series_Complete_18PlusPop_Pct_SVI,Series_Complete_65PlusPop_Pct_SVI,Metro_status,Series_Complete_Pop_Pct_UR_Equity,Series_Complete_5PlusPop_Pct_UR_Equity,Series_Complete_5to17Pop_Pct_UR_Equity,Series_Complete_12PlusPop_Pct_UR_Equity,Series_Complete_18PlusPop_Pct_UR_Equity,Series_Complete_65PlusPop_Pct_UR_Equity,Booster_Doses_Vax_Pct_SVI,Booster_Doses_12PlusVax_Pct_SVI,Booster_Doses_18PlusVax_Pct_SVI,Booster_Doses_65PlusVax_Pct_SVI,Booster_Doses_Vax_Pct_UR_Equity,Booster_Doses_12PlusVax_Pct_UR_Equity,Booster_Doses_18PlusVax_Pct_UR_Equity,Booster_Doses_65PlusVax_Pct_UR_Equity,Census2019,Census2019_5PlusPop,Census2019_5to17Pop,Census2019_12PlusPop,Census2019_18PlusPop,Census2019_65PlusPop,Bivalent_Booster_5Plus,Bivalent_Booster_5Plus_Pop_Pct,Bivalent_Booster_12Plus,Bivalent_Booster_12Plus_Pop_Pct,Bivalent_Booster_18Plus,Bivalent_Booster_18Plus_Pop_Pct,Bivalent_Booster_65Plus,Bivalent_Booster_65Plus_Pop_Pct
01/11/2023,28125,2,Sharkey County,MS,98.1,2803,64.9,2803,69.3,2747,75.5,2540,78.1,785,90.6,2485,57.5,2485,61.4,219,27.7,2443,67.2,2266,69.6,739,85.3,1226,49.3,1226,49.3,1225,50.1,1203,53.1,946,65,519,70.2,364,38.5,229,44.1,D,14,14,13,15,15,16,Non-metro,6,6,5,7,7,8,15,16,16,15,7,8,8,7,4321,4046,792,3637,3254,866,162,4,162,4.5,158,4.9,98,11.3
01/11/2023,01129,2,Washington County,AL,92.6,9335,57.2,9331,60.5,9253,65.7,8880,69.8,3115,95,7691,47.1,7689,49.9,347,12.8,7637,54.2,7342,57.7,2670,82.9,2858,37.2,2858,37.2,2857,37.4,2831,38.6,2452,49.1,1564,58.6,788,32.1,561,35.9,B,5,5,5,6,6,8,Non-metro,5,5,5,6,6,8,6,6,6,6,6,6,6,6,16326,15423,2701,14087,12722,3219,616,4,616,4.4,614,4.8,399,12.4
01/11/2023,37059,2,Davie County,NC,96.8,35392,82.6,35283,86.6,34374,92.2,32438,95,12056,95,27019,63.1,26949,66.1,2295,33.5,26209,70.3,24654,72.7,9206,95,9080,33.6,9079,33.7,8959,34.2,8625,35,6786,41.4,4239,46,2615,38.5,1820,42.9,B,6,7,6,7,7,8,Metro,2,3,2,3,3,4,6,6,6,5,2,2,2,1,42846,40760,6859,37262,33901,9279,5906,14.5,5839,15.7,5701,16.8,3456,37.2
01/11/2023,36095,2,Schoharie County,NY,97.5,19673,63.5,19633,66,19080,69.2,18011,70.3,6107,86.7,18114,58.4,18086,60.8,1481,36,17595,63.8,16605,64.8,5614,79.7,10586,58.4,10585,58.5,10523,59.8,10220,61.5,7345,69.7,4286,76.3,3848,52.4,2641,61.6,B,6,6,6,6,6,7,Metro,2,2,2,2,2,3,8,8,8,7,4,4,4,3,30999,29740,4112,27563,25628,7047,4458,15,4427,16.1,4339,16.9,2555,36.3
01/11/2023,20171,2,Scott County,KS,93.9,2595,53.8,2586,57,2489,62,2311,65,710,73,2409,49.9,2404,53,262,26.7,2314,57.6,2142,60.2,678,69.8,1056,43.8,1056,43.9,1048,45.3,1023,47.8,698,59.3,458,67.6,311,44.6,238,52,B,5,6,5,6,6,7,Non-metro,5,6,5,6,6,7,7,7,7,7,7,7,7,7,4823,4538,982,4014,3556,972,373,8.2,369,9.2,364,10.2,218,22.4
01/11/2023,16037,2,Custer County,ID,97.7,2317,53.7,2314,56.2,2269,59.2,2193,61.4,948,73,2102,48.7,2101,51.1,106,19.6,2062,53.8,1995,55.8,881,67.9,1153,54.9,1153,54.9,1148,55.7,1126,56.4,936,65.9,641,72.8,519,55.4,367,57.3,B,5,6,5,6,6,7,Non-metro,5,6,5,6,6,7,8,8,8,7,8,8,8,7,4315,4114,540,3835,3574,1298,582,14.1,579,15.1,572,16,357,27.5
01/11/2023,51121,2,Montgomery County,VA,78.2,55538,56.4,55156,58.4,53512,60.5,50556,60.6,10725,82.3,47095,47.8,46910,49.7,3993,36.3,45491,51.4,42917,51.4,9682,74.3,20780,44.1,20765,44.3,20293,44.6,19346,45.1,9231,49.3,5232,54,6324,68.5,3960,75.7,B,5,5,6,6,6,7,Metro,1,1,2,2,2,3,7,7,7,6,3,3,3,2,98535,94450,10985,88466,83465,13025,10780,11.4,10530,11.9,10110,12.1,3875,29.8
01/11/2023,06017,2,El Dorado County,CA,97.7,136176,70.6,135425,73.6,130680,77.2,121944,78.8,39031,92.3,123945,64.3,123507,67.1,12127,41.5,119424,70.6,111380,72,36313,85.8,73508,59.3,73494,59.5,72517,60.7,69527,62.4,49504,71.5,28635,78.9,29033,58.6,19028,66.5,A,2,3,3,3,3,4,Metro,2,3,3,3,3,4,4,4,4,3,4,4,4,3,192843,183982,29240,169247,154742,42304,34216,18.6,33696,19.9,32814,21.2,17962,42.5
01/11/2023,48335,2,Mitchell County,TX,98.9,3440,40.3,3439,42.5,3408,46.4,3309,48.8,903,71.7,3101,36.3,3101,38.4,98,7.5,3081,42,3003,44.3,827,65.7,1546,49.9,1546,49.9,1545,50.1,1542,51.3,923,57.7,506,61.2,387,41.9,220,43.5,C,9,9,9,9,9,11,Non-metro,5,5,5,5,5,7,11,12,12,10,7,8,8,6,8545,8083,1301,7342,6782,1259,286,3.5,286,3.9,285,4.2,175,13.9
01/11/2023,72011,2,Anasco Municipio,PR,97.8,21412,81.8,21372,84.3,20095,86.1,18492,85,5006,89.8,20175,77.1,20165,79.6,2659,74,19049,81.6,17506,80.5,4739,85,13531,67.1,13531,67.1,13473,70.7,12318,70.4,7090,75.6,3671,77.5,2304,32.5,1414,38.5,A,3,3,4,4,4,4,Metro,3,3,4,4,4,4,4,4,4,3,4,4,4,3,26161,25347,3592,23332,21755,5577,1596,6.3,1590,6.8,1571,7.2,878,15.7
