year,age,deaths,pop
1990,50,311,98602
1990,51,353,94457
1990,52,389,90296
1990,53,391,88026
1990,54,380,84466
1990,55,496,82710
1990,56,509,81355
1990,57,579,84551
1990,58,642,84689
1990,59,709,86172
1990,60,736,84057
1990,61,841,86729
1990,62,887,84629
1990,63,966,86229
1990,64,1151,88472
1990,65,1274,88798
1990,66,1363,89532
1990,67,1521,89275
1990,68,1777,94277
1990,69,1878,98184
1990,70,2175,79169
1990,71,2045,77343
1990,72,2197,76642
1990,73,2394,73717
1990,74,2578,70944
1990,75,2858,70685
1990,76,3022,67871
1990,77,3275,65122
1990,78,3439,60334
1990,79,3688,56790
1990,80,3757,53740.55
1990,81,3834,47838.43
1990,82,3873,42801.83
1990,83,3632,37921.46
1990,84,3629,32700.28
1990,85,3388,28725.87
1990,86,3415,24019.06
1990,87,2990,20932.22
1990,88,2938,17016
1990,89,2655,13765
1990,90,2183,10431
1990,91,1844,8149
1990,92,1546,6151
1990,93,1255,4735
1990,94,1030,3273
1990,95,761,2265
1990,96,582,1652
1990,97,423,1029
1990,98,281,676
1990,99,175,410
1990,100,137,243
1991,50,314,97081
1991,51,386,98320
1991,52,385,94149
1991,53,379,89941
1991,54,407,87702
1991,55,497,84098
1991,56,515,82279
1991,57,568,80882
1991,58,635,84024
1991,59,695,84074
1991,60,738,85470
1991,61,840,83369
1991,62,901,85877
1991,63,987,83771
1991,64,1117,85259
1991,65,1215,87321
1991,66,1400,87556
1991,67,1524,88102
1991,68,1617,87679
1991,69,1896,92560
1991,70,2143,96040
1991,71,2271,77221
1991,72,2046,75203
1991,73,2326,74364
1991,74,2531,71286
1991,75,2673,68249
1991,76,2949,67757
1991,77,3257,64778
1991,78,3406,61705
1991,79,3511,56797
1991,80,3647,53244.8
1991,81,3760,49791.55
1991,82,3877,44033.43
1991,83,3857,39064.83
1991,84,3685,34275.46
1991,85,3494,29194.28
1991,86,3233,25267.87
1991,87,3072,20905.06
1991,88,2848,17911.22
1991,89,2646,14171
1991,90,2377,11415
1991,91,2023,8406
1991,92,1609,6429
1991,93,1354,4778
1991,94,1024,3565
1991,95,829,2421
1991,96,578,1601
1991,97,411,1133
1991,98,301,686
1991,99,207,447
1991,100,127,255
1992,50,362,101972
1992,51,321,96804
1992,52,428,98003
1992,53,409,93830
1992,54,422,89587
1992,55,450,87329
1992,56,531,83628
1992,57,520,81809
1992,58,575,80317
1992,59,614,83359
1992,60,729,83447
1992,61,810,84791
1992,62,912,82545
1992,63,980,84962
1992,64,1066,82784
1992,65,1211,84170
1992,66,1365,86076
1992,67,1411,86129
1992,68,1587,86621
1992,69,1791,85957
1992,70,2019,90566
1992,71,2211,93750
1992,72,2414,75294
1992,73,2343,73018
1992,74,2523,71928
1992,75,2555,68738
1992,76,2745,65488
1992,77,3170,64670
1992,78,3312,61440
1992,79,3509,58282
1992,80,3561,53234.34
1992,81,3759,49622.8
1992,82,3868,45863.55
1992,83,3790,40207.43
1992,84,3824,35284.83
1992,85,3529,30741.46
1992,86,3364,25751.28
1992,87,3201,22141.87
1992,88,2985,17948.06
1992,89,2625,15076.22
1992,90,2470,11757
1992,91,2044,9153
1992,92,1679,6600
1992,93,1344,4978
1992,94,1107,3626
1992,95,871,2594
1992,96,626,1730
1992,97,451,1125
1992,98,294,757
1992,99,210,454
1992,100,135,273
1993,50,383,114524
1993,51,387,101680
1993,52,345,96483
1993,53,425,97561
1993,54,462,93431
1993,55,479,89162
1993,56,479,86829
1993,57,546,83148
1993,58,559,81314
1993,59,638,79739
1993,60,686,82754
1993,61,716,82740
1993,62,867,84040
1993,63,941,81625
1993,64,985,83978
1993,65,1145,81783
1993,66,1246,82921
1993,67,1459,84742
1993,68,1588,84646
1993,69,1660,84953
1993,70,1861,84117
1993,71,2094,88539
1993,72,2499,91388
1993,73,2612,73085
1993,74,2357,70612
1993,75,2579,69397
1993,76,2876,66116
1993,77,3134,62603
1993,78,3335,61412
1993,79,3470,57982
1993,80,3745,54744.7
1993,81,3841,49536.34
1993,82,3870,45859.8
1993,83,4050,42009.55
1993,84,3924,36428.43
1993,85,3827,31586.83
1993,86,3645,27224.46
1993,87,3462,22570.28
1993,88,3138,18996.87
1993,89,2882,15198.06
1993,90,2590,12472.22
1993,91,2187,9523
1993,92,1918,7259
1993,93,1509,5115
1993,94,1196,3752
1993,95,914,2646
1993,96,691,1831
1993,97,482,1169
1993,98,329,772
1993,99,248,510
1993,100,161,283
1994,50,426,124796
1994,51,423,114197
1994,52,399,101337
1994,53,387,96176
1994,54,457,97201
1994,55,505,93068
1994,56,518,88786
1994,57,534,86439
1994,58,562,82699
1994,59,560,80782
1994,60,667,79258
1994,61,677,82170
1994,62,806,82048
1994,63,915,83214
1994,64,998,80777
1994,65,1102,82977
1994,66,1125,80645
1994,67,1239,81704
1994,68,1441,83240
1994,69,1576,83061
1994,70,1762,83254
1994,71,1895,82210
1994,72,2219,86304
1994,73,2470,88731
1994,74,2636,70811
1994,75,2423,68131
1994,76,2654,66662
1994,77,2846,63147
1994,78,3031,59463
1994,79,3204,57990
1994,80,3532,54452.38
1994,81,3598,50833.7
1994,82,3598,45710.34
1994,83,3702,41932.8
1994,84,3846,37914.55
1994,85,3578,32578.43
1994,86,3554,27901.83
1994,87,3289,23622.46
1994,88,2996,19315.28
1994,89,2781,15957.87
1994,90,2359,12531.06
1994,91,2159,10044.22
1994,92,1769,7412
1994,93,1436,5574
1994,94,1093,3774
1994,95,865,2716
1994,96,662,1866
1994,97,465,1223
1994,98,325,796
1994,99,212,475
1994,100,137,302
1995,50,412,132724
1995,51,461,124555
1995,52,484,113908
1995,53,445,101122
1995,54,408,96054
1995,55,471,96901
1995,56,528,92809
1995,57,500,88468
1995,58,532,86128
1995,59,610,82389
1995,60,634,80436
1995,61,741,78854
1995,62,797,81642
1995,63,872,81389
1995,64,984,82520
1995,65,1026,79866
1995,66,1214,82068
1995,67,1270,79608
1995,68,1391,80551
1995,69,1569,81869
1995,70,1697,81458
1995,71,1847,81526
1995,72,1989,80260
1995,73,2324,83985
1995,74,2833,86111
1995,75,2805,68485
1995,76,2602,65575
1995,77,2935,63957
1995,78,3112,60282
1995,79,3282,56382
1995,80,3415,54593.18
1995,81,3548,50902.38
1995,82,3858,47172.7
1995,83,3832,42079.34
1995,84,3872,38088.8
1995,85,3850,34190.55
1995,86,3761,29010.43
1995,87,3398,24530.83
1995,88,3222,20449.46
1995,89,2867,16498.28
1995,90,2613,13320.87
1995,91,2233,10316.06
1995,92,1980,8013.22
1995,93,1566,5844
1995,94,1247,4293
1995,95,970,2810
1995,96,624,1965
1995,97,500,1295
1995,98,329,836
1995,99,233,548
1995,100,155,300
1996,50,441,134233
1996,51,465,132308
1996,52,469,124133
1996,53,487,113474
1996,54,478,100729
1996,55,465,95715
1996,56,504,96455
1996,57,551,92395
1996,58,539,88031
1996,59,587,85627
1996,60,641,81914
1996,61,678,79917
1996,62,746,78258
1996,63,857,80986
1996,64,950,80614
1996,65,1035,81662
1996,66,1111,78905
1996,67,1320,80946
1996,68,1330,78434
1996,69,1485,79244
1996,70,1616,80312
1996,71,1884,79748
1996,72,1987,79671
1996,73,2230,78189
1996,74,2551,81470
1996,75,2884,83193
1996,76,3003,66018
1996,77,2749,62768
1996,78,2888,60958
1996,79,3176,57075
1996,80,3377,52964.89
1996,81,3593,51129.18
1996,82,3659,47194.38
1996,83,3823,43333.7
1996,84,3867,38300.34
1996,85,3849,34083.8
1996,86,3804,30349.55
1996,87,3709,25503.43
1996,88,3299,21209.83
1996,89,3038,17352.46
1996,90,2688,13800.28
1996,91,2433,10903.87
1996,92,2004,8227.06
1996,93,1639,6205.22
1996,94,1305,4459
1996,95,1040,3196
1996,96,741,2019
1996,97,566,1397
1996,98,362,891
1996,99,234,559
1996,100,179,352
1997,50,384,134895
1997,51,446,133754
1997,52,474,131828
1997,53,541,123567
1997,54,516,112922
1997,55,509,100239
1997,56,440,95245
1997,57,554,95909
1997,58,573,91908
1997,59,621,87528
1997,60,683,85048
1997,61,700,81361
1997,62,727,79201
1997,63,818,77527
1997,64,864,80156
1997,65,1055,79632
1997,66,1127,80633
1997,67,1129,77765
1997,68,1286,79631
1997,69,1401,77113
1997,70,1554,77751
1997,71,1812,78583
1997,72,1941,77835
1997,73,2205,77571
1997,74,2369,75854
1997,75,2692,78796
1997,76,3036,80142
1997,77,3139,63331
1997,78,2781,59941
1997,79,3079,57931
1997,80,3371,53703
1997,81,3495,49545.89
1997,82,3547,47402.18
1997,83,3781,43519.38
1997,84,3823,39484.7
1997,85,3840,34413.34
1997,86,3627,30299.8
1997,87,3545,26551.55
1997,88,3465,21972.43
1997,89,3091,18027.83
1997,90,2760,14446.46
1997,91,2465,11301.28
1997,92,2035,8646.87
1997,93,1803,6450.06
1997,94,1321,4731.22
1997,95,1050,3261
1997,96,837,2277
1997,97,599,1402
1997,98,379,944
1997,99,287,593
1997,100,170,338
1998,50,377,132666
1998,51,392,134406
1998,52,443,133226
1998,53,502,131228
1998,54,564,122985
1998,55,560,112397
1998,56,518,99688
1998,57,527,94747
1998,58,595,95322
1998,59,608,91300
1998,60,619,86841
1998,61,705,84309
1998,62,797,80651
1998,63,804,78393
1998,64,891,76627
1998,65,979,79143
1998,66,1072,78510
1998,67,1182,79468
1998,68,1258,76527
1998,69,1393,78237
1998,70,1483,75591
1998,71,1659,76101
1998,72,1871,76592
1998,73,2047,75799
1998,74,2295,75241
1998,75,2441,73306
1998,76,2924,75949
1998,77,3142,76893
1998,78,3350,60536
1998,79,2982,56993
1998,80,3227,54616
1998,81,3451,50242
1998,82,3514,46086.89
1998,83,3728,43683.18
1998,84,3852,39684.38
1998,85,3861,35607.7
1998,86,3836,30782.34
1998,87,3639,26669.8
1998,88,3469,23035.55
1998,89,3188,18695.43
1998,90,2902,15085.83
1998,91,2446,11833.46
1998,92,2192,9050.28
1998,93,1808,6726.87
1998,94,1405,4938.06
1998,95,1098,3493.22
1998,96,797,2324
1998,97,573,1546
1998,98,391,928
1998,99,248,586
1998,100,183,383
1999,50,364,130989
1999,51,374,132248
1999,52,441,133944
1999,53,514,132766
1999,54,538,130699
1999,55,603,122393
1999,56,602,111852
1999,57,548,99126
1999,58,550,94202
1999,59,621,94735
1999,60,674,90665
1999,61,673,86168
1999,62,741,83581
1999,63,827,79852
1999,64,864,77466
1999,65,902,75669
1999,66,1013,78096
1999,67,1113,77342
1999,68,1283,78179
1999,69,1347,75181
1999,70,1463,76719
1999,71,1690,74015
1999,72,1818,74277
1999,73,1966,74575
1999,74,2190,73602
1999,75,2514,72873
1999,76,2593,70596
1999,77,2986,72877
1999,78,3340,73478
1999,79,3551,57544
1999,80,3226,53733
1999,81,3481,51241
1999,82,3672,46761
1999,83,3689,42560.89
1999,84,3713,39912.18
1999,85,3913,35755.38
1999,86,3928,31777.7
1999,87,3775,27062.34
1999,88,3625,23070.8
1999,89,3439,19634.55
1999,90,2984,15645.43
1999,91,2722,12440.83
1999,92,2324,9525.46
1999,93,1914,7023.28
1999,94,1495,5123.87
1999,95,1143,3715.06
1999,96,869,2536.22
1999,97,664,1662
1999,98,440,1050
1999,99,306,634
1999,100,178,361
2000,50,330,126177
2000,51,408,130623
2000,52,431,131833
2000,53,470,133485
2000,54,559,132313
2000,55,559,130098
2000,56,658,121803
2000,57,630,111254
2000,58,655,98568
2000,59,593,93645
2000,60,686,94070
2000,61,734,89995
2000,62,800,85443
2000,63,756,82849
2000,64,884,79006
2000,65,911,76534
2000,66,983,74682
2000,67,1029,76992
2000,68,1153,76164
2000,69,1342,76840
2000,70,1430,73736
2000,71,1570,75105
2000,72,1752,72258
2000,73,1885,72409
2000,74,2107,72466
2000,75,2281,71159
2000,76,2594,70307
2000,77,2777,67816
2000,78,3030,69750
2000,79,3531,69855
2000,80,3655,54217
2000,81,3279,50314
2000,82,3520,47688
2000,83,3619,43034
2000,84,3756,38938.89
2000,85,3835,36034.18
2000,86,3882,31861.38
2000,87,3771,27875.7
2000,88,3589,23445.34
2000,89,3256,19534.8
2000,90,3075,16325.55
2000,91,2713,12828.43
2000,92,2350,9890.83
2000,93,1926,7421.46
2000,94,1533,5308.28
2000,95,1239,3849.87
2000,96,958,2690.06
2000,97,665,1762.22
2000,98,477,1119
2000,99,310,673
2000,100,190,386
2001,50,360,121322
2001,51,351,125864
2001,52,420,130273
2001,53,500,131492
2001,54,513,133017
2001,55,541,131804
2001,56,665,129496
2001,57,694,121187
2001,58,717,110684
2001,59,670,98010
2001,60,638,93038
2001,61,782,93382
2001,62,704,89334
2001,63,820,84685
2001,64,826,82038
2001,65,917,78119
2001,66,992,75642
2001,67,1027,73692
2001,68,1199,75932
2001,69,1275,74874
2001,70,1397,75468
2001,71,1587,72286
2001,72,1671,73430
2001,73,1778,70413
2001,74,2026,70478
2001,75,2199,70253
2001,76,2413,68709
2001,77,2723,67598
2001,78,2907,64953
2001,79,3327,66478
2001,80,3743,65990
2001,81,3832,50933
2001,82,3238,46868
2001,83,3632,44093
2001,84,3652,39379
2001,85,3800,35187.89
2001,86,3807,32159.18
2001,87,3750,27979.38
2001,88,3650,24222.7
2001,89,3497,19994.34
2001,90,3044,16384.8
2001,91,2922,13436.55
2001,92,2523,10251.43
2001,93,2059,7740.83
2001,94,1618,5674.46
2001,95,1272,3960.28
2001,96,946,2725.87
2001,97,692,1884.06
2001,98,502,1176.22
2001,99,353,741
2001,100,214,445
2002,50,312,116087
2002,51,358,121071
2002,52,374,125578
2002,53,431,129889
2002,54,498,131063
2002,55,596,132578
2002,56,590,131282
2002,57,692,128918
2002,58,765,120546
2002,59,768,110073
2002,60,746,97403
2002,61,730,92415
2002,62,716,92714
2002,63,836,88615
2002,64,848,83930
2002,65,900,81118
2002,66,994,77197
2002,67,1049,74634
2002,68,1124,72604
2002,69,1303,74726
2002,70,1418,73602
2002,71,1526,73943
2002,72,1671,70656
2002,73,1852,71693
2002,74,1923,68535
2002,75,2190,68307
2002,76,2274,67989
2002,77,2658,66154
2002,78,2968,64792
2002,79,3147,61903
2002,80,3546,62834
2002,81,3810,62016
2002,82,4089,47590
2002,83,3468,43387
2002,84,3756,40304
2002,85,3798,35785
2002,86,3861,31378.89
2002,87,3883,28406.18
2002,88,3758,24253.38
2002,89,3540,20678.7
2002,90,3357,16728.34
2002,91,2885,13346.8
2002,92,2505,10705.55
2002,93,2206,7950.43
2002,94,1782,5873.83
2002,95,1418,4263.46
2002,96,1078,2874.28
2002,97,734,1898.87
2002,98,515,1269.06
2002,99,346,786.22
2002,100,233,455
2003,50,310,116960
2003,51,326,115874
2003,52,345,120802
2003,53,421,125271
2003,54,507,129529
2003,55,543,130647
2003,56,610,132056
2003,57,689,130694
2003,58,673,128301
2003,59,753,119824
2003,60,756,109387
2003,61,811,96740
2003,62,760,91806
2003,63,826,92009
2003,64,884,87837
2003,65,966,83085
2003,66,998,80225
2003,67,1044,76169
2003,68,1153,73565
2003,69,1186,71448
2003,70,1342,73340
2003,71,1570,72109
2003,72,1602,72384
2003,73,1740,68934
2003,74,1898,69744
2003,75,2043,66508
2003,76,2284,66083
2003,77,2512,65517
2003,78,2720,63357
2003,79,3040,61801
2003,80,3211,58436
2003,81,3779,59176
2003,82,3950,57868
2003,83,4147,43988
2003,84,3500,39853
2003,85,3647,36423
2003,86,3835,31977
2003,87,3620,27495.89
2003,88,3623,24518.18
2003,89,3439,20712.38
2003,90,3187,17148.7
2003,91,2822,13599.34
2003,92,2471,10653.8
2003,93,2128,8330.55
2003,94,1692,5946.43
2003,95,1378,4348.83
2003,96,1088,3025.46
2003,97,761,1945.28
2003,98,527,1270.87
2003,99,347,839.06
2003,100,244,497.22
2004,50,341,117501
2004,51,321,116711
2004,52,338,115643
2004,53,390,120470
2004,54,462,124893
2004,55,504,129076
2004,56,603,130152
2004,57,678,131494
2004,58,725,130072
2004,59,768,127634
2004,60,853,119131
2004,61,814,108696
2004,62,818,95961
2004,63,787,91085
2004,64,909,91201
2004,65,941,86863
2004,66,1001,82140
2004,67,1036,79198
2004,68,1089,75074
2004,69,1218,72402
2004,70,1264,70149
2004,71,1423,71881
2004,72,1563,70591
2004,73,1700,70644
2004,74,1822,67132
2004,75,1924,67807
2004,76,2127,64345
2004,77,2399,63666
2004,78,2496,62912
2004,79,2864,60512
2004,80,3016,58549
2004,81,3326,55056
2004,82,3627,55295
2004,83,3956,53624
2004,84,4102,40383
2004,85,3499,36198
2004,86,3689,32655
2004,87,3586,28254
2004,88,3500,23901.89
2004,89,3392,20941.18
2004,90,3094,17408.38
2004,91,2835,14199.7
2004,92,2447,10917.34
2004,93,2073,8342.8
2004,94,1775,6391.55
2004,95,1388,4458.43
2004,96,1029,3110.83
2004,97,780,2092.46
2004,98,542,1309.28
2004,99,359,831.87
2004,100,264,546.06
2005,50,291,114431
2005,51,310,117240
2005,52,363,116435
2005,53,437,115377
2005,54,431,120103
2005,55,522,124401
2005,56,602,128551
2005,57,656,129500
2005,58,656,130849
2005,59,803,129385
2005,60,859,126856
2005,61,887,118275
2005,62,903,107899
2005,63,925,95191
2005,64,844,90263
2005,65,1018,90241
2005,66,1116,85877
2005,67,1051,81117
2005,68,1139,78125
2005,69,1196,73888
2005,70,1273,71193
2005,71,1283,68795
2005,72,1480,70363
2005,73,1646,69016
2005,74,1849,68826
2005,75,1935,65259
2005,76,2142,65780
2005,77,2307,62086
2005,78,2519,61236
2005,79,2803,60196
2005,80,3068,57591
2005,81,3311,55318
2005,82,3450,51633
2005,83,3915,51491
2005,84,4165,49405
2005,85,4123,36847
2005,86,3601,32492
2005,87,3674,29018
2005,88,3546,24679
2005,89,3337,20512.89
2005,90,3197,17664.18
2005,91,2886,14435.38
2005,92,2608,11544.7
2005,93,2227,8662.34
2005,94,1838,6438.8
2005,95,1391,4788.55
2005,96,1074,3255.43
2005,97,858,2196.83
2005,98,562,1441.46
2005,99,377,868.28
2005,100,259,523.87
2006,50,278,116623
2006,51,314,114214
2006,52,352,116970
2006,53,426,116090
2006,54,429,114921
2006,55,449,119643
2006,56,563,123878
2006,57,611,127923
2006,58,638,128872
2006,59,761,130166
2006,60,842,128547
2006,61,909,125972
2006,62,956,117392
2006,63,953,107031
2006,64,965,94340
2006,65,1012,89319
2006,66,1050,89192
2006,67,1036,84742
2006,68,1094,80017
2006,69,1155,76991
2006,70,1315,72627
2006,71,1333,69903
2006,72,1408,67452
2006,73,1536,68803
2006,74,1782,67230
2006,75,1864,66855
2006,76,2069,63338
2006,77,2244,63480
2006,78,2480,59721
2006,79,2662,58544
2006,80,2869,57169
2006,81,3245,54426
2006,82,3339,51957
2006,83,3574,47919
2006,84,4118,47545
2006,85,4226,45008
2006,86,4193,33228
2006,87,3461,28796
2006,88,3628,25350
2006,89,3427,21224
2006,90,3043,17291.89
2006,91,2983,14626.18
2006,92,2616,11702.38
2006,93,2224,9059.7
2006,94,1891,6649.34
2006,95,1453,4830.8
2006,96,1197,3518.55
2006,97,853,2323.43
2006,98,625,1488.83
2006,99,428,952.46
2006,100,281,577.28
2007,50,307,118289
2007,51,326,116526
2007,52,361,114014
2007,53,359,116720
2007,54,382,115746
2007,55,410,114631
2007,56,491,119265
2007,57,560,123382
2007,58,666,127348
2007,59,731,128231
2007,60,766,129413
2007,61,869,127711
2007,62,972,125073
2007,63,1032,116461
2007,64,1084,106191
2007,65,1120,93339
2007,66,998,88347
2007,67,1135,88224
2007,68,1133,83695
2007,69,1203,78949
2007,70,1246,75771
2007,71,1308,71364
2007,72,1427,68460
2007,73,1508,66032
2007,74,1563,67167
2007,75,1858,65421
2007,76,2018,64921
2007,77,2217,61210
2007,78,2440,61093
2007,79,2592,57190
2007,80,2961,55754
2007,81,3029,54079
2007,82,3435,51123
2007,83,3552,48483
2007,84,3729,44145
2007,85,4041,43333
2007,86,4389,40555
2007,87,4236,29679
2007,88,3552,25216
2007,89,3428,21782
2007,90,3189,17951
2007,91,2955,14341.89
2007,92,2607,11803.18
2007,93,2369,9261.38
2007,94,2015,7067.7
2007,95,1596,4948.34
2007,96,1215,3493.8
2007,97,916,2474.55
2007,98,662,1613.43
2007,99,430,953.83
2007,100,284,601.46
2008,50,283,117859
2008,51,335,118242
2008,52,322,116364
2008,53,394,113848
2008,54,390,116489
2008,55,441,115500
2008,56,463,114271
2008,57,562,118882
2008,58,623,122869
2008,59,655,126740
2008,60,795,127528
2008,61,845,128704
2008,62,959,126882
2008,63,1025,124135
2008,64,1175,115454
2008,65,1110,105147
2008,66,1122,92288
2008,67,1047,87351
2008,68,1225,87089
2008,69,1260,82611
2008,70,1264,77707
2008,71,1314,74553
2008,72,1431,70042
2008,73,1433,66978
2008,74,1650,64554
2008,75,1768,65438
2008,76,1885,63453
2008,77,2200,62808
2008,78,2309,58863
2008,79,2485,58569
2008,80,2728,54486
2008,81,3097,52754
2008,82,3250,50791
2008,83,3496,47614
2008,84,3704,44871
2008,85,3889,40261
2008,86,4144,39138
2008,87,4357,36072
2008,88,4119,26010
2008,89,3419,21652
2008,90,3313,18416
2008,91,3023,14885
2008,92,2675,11634.89
2008,93,2316,9248.18
2008,94,1904,7053.38
2008,95,1630,5282.7
2008,96,1211,3534.34
2008,97,910,2462.8
2008,98,662,1658.55
2008,99,479,1073.43
2008,100,306,588.83
2009,50,270,116447
2009,51,300,117782
2009,52,344,118098
2009,53,391,116144
2009,54,413,113599
2009,55,410,116212
2009,56,470,115144
2009,57,516,113828
2009,58,605,118419
2009,59,653,122303
2009,60,715,126059
2009,61,809,126803
2009,62,971,127891
2009,63,981,126012
2009,64,1136,123094
2009,65,1197,114389
2009,66,1140,104072
2009,67,1136,91217
2009,68,1068,86332
2009,69,1268,85811
2009,70,1294,81385
2009,71,1352,76448
2009,72,1424,73193
2009,73,1587,68667
2009,74,1647,65419
2009,75,1689,62888
2009,76,1865,63609
2009,77,2069,61451
2009,78,2316,60538
2009,79,2401,56549
2009,80,2756,55917
2009,81,2830,51533
2009,82,3040,49663
2009,83,3352,47333
2009,84,3578,44024
2009,85,3803,41055
2009,86,3774,36322
2009,87,4164,34886
2009,88,4217,31613
2009,89,3917,22449
2009,90,3095,18220
2009,91,2888,15253
2009,92,2677,12018
2009,93,2291,9141.89
2009,94,1968,7149.18
2009,95,1611,5345.38
2009,96,1198,3794.7
2009,97,934,2508.34
2009,98,694,1672.8
2009,99,485,1097.55
2009,100,303,675.43
2010,50,265,117025
2010,51,266,116462
2010,52,326,117742
2010,53,342,117937
2010,54,373,115970
2010,55,388,113398
2010,56,467,115938
2010,57,492,114786
2010,58,550,113369
2010,59,632,117863
2010,60,730,121780
2010,61,802,125487
2010,62,901,126043
2010,63,988,127038
2010,64,1216,125107
2010,65,1233,121996
2010,66,1236,113294
2010,67,1258,103011
2010,68,1183,90193
2010,69,1251,85263
2010,70,1348,84557
2010,71,1370,80133
2010,72,1457,75096
2010,73,1532,71680
2010,74,1662,67108
2010,75,1757,63750
2010,76,1803,61169
2010,77,2065,61652
2010,78,2357,59306
2010,79,2499,58184
2010,80,2644,53951
2010,81,2859,53105
2010,82,3040,48608
2010,83,3306,46541
2010,84,3444,43854
2010,85,3656,40323
2010,86,3778,37171
2010,87,3911,32468
2010,88,4098,30699
2010,89,4045,27326
2010,90,3775,19075
2010,91,2987,15252
2010,92,2677,12465
2010,93,2356,9522
2010,94,1979,6975.89
2010,95,1560,5381.18
2010,96,1262,3934.38
2010,97,947,2701.7
2010,98,691,1707.34
2010,99,449,1068.8
2010,100,335,709.55
2011,50,273,116355
2011,51,273,116938
2011,52,258,116255
2011,53,353,117527
2011,54,369,117658
2011,55,451,115735
2011,56,464,113018
2011,57,451,115564
2011,58,555,114303
2011,59,600,112819
2011,60,668,117211
2011,61,732,121086
2011,62,798,124734
2011,63,933,125170
2011,64,1082,125944
2011,65,1188,123950
2011,66,1266,120794
2011,67,1295,112085
2011,68,1325,101818
2011,69,1353,89038
2011,70,1289,83971
2011,71,1428,83221
2011,72,1517,78742
2011,73,1548,73610
2011,74,1615,70071
2011,75,1721,65447
2011,76,1896,61982
2011,77,1937,59287
2011,78,2120,59438
2011,79,2432,56888
2011,80,2588,55614
2011,81,2729,51217
2011,82,3026,50068
2011,83,3244,45471
2011,84,3404,43185
2011,85,3612,40307
2011,86,3813,36550
2011,87,3837,33255
2011,88,3792,28573
2011,89,3927,26602
2011,90,3845,23277
2011,91,3501,15810
2011,92,2695,12420
2011,93,2365,9936
2011,94,1993,7320
2011,95,1623,5260.89
2011,96,1238,3969.18
2011,97,1015,2819.38
2011,98,760,1889.7
2011,99,489,1154.34
2011,100,333,684.8
2012,50,250,117928
2012,51,269,116338
2012,52,277,116806
2012,53,362,116122
2012,54,389,117308
2012,55,426,117416
2012,56,447,115345
2012,57,472,112692
2012,58,492,115157
2012,59,558,113827
2012,60,639,112255
2012,61,716,116635
2012,62,798,120378
2012,63,894,123877
2012,64,1000,124276
2012,65,1149,124876
2012,66,1325,122744
2012,67,1306,119515
2012,68,1428,110835
2012,69,1453,100493
2012,70,1415,87771
2012,71,1328,82656
2012,72,1490,81757
2012,73,1682,77224
2012,74,1743,72024
2012,75,1814,68465
2012,76,1927,63635
2012,77,2016,60057
2012,78,2182,57266
2012,79,2286,57132
2012,80,2600,54407
2012,81,2889,52969
2012,82,2984,48305
2012,83,3239,46902
2012,84,3423,42225
2012,85,3630,39624
2012,86,3726,36630
2012,87,3926,32758
2012,88,4043,29307
2012,89,3831,24825
2012,90,3848,22701
2012,91,3626,19433
2012,92,3247,12885
2012,93,2416,9861
2012,94,2138,7726
2012,95,1722,5507
2012,96,1343,3831.89
2012,97,1058,2863.18
2012,98,757,1945.38
2012,99,540,1264.7
2012,100,373,750.34
2013,50,256,121914
2013,51,275,117902
2013,52,295,116312
2013,53,361,116611
2013,54,368,115969
2013,55,392,117038
2013,56,415,117095
2013,57,453,114981
2013,58,499,112345
2013,59,596,114727
2013,60,606,113352
2013,61,703,111638
2013,62,763,116033
2013,63,908,119558
2013,64,998,122986
2013,65,1125,123226
2013,66,1270,123668
2013,67,1342,121512
2013,68,1515,118171
2013,69,1484,109354
2013,70,1529,99169
2013,71,1515,86438
2013,72,1410,81285
2013,73,1668,80145
2013,74,1761,75556
2013,75,1821,70267
2013,76,1982,66606
2013,77,2012,61725
2013,78,2065,57911
2013,79,2237,55102
2013,80,2564,54609
2013,81,2697,51703
