fips,state,year,ent,child_acs,ent_pc
1,Alabama,2010,3063,1131261,2.707597981367695
1,Alabama,2011,3257,1120773,2.9060300346278867
1,Alabama,2012,2763,1122353,2.461792323805434
1,Alabama,2013,3041,1105933,2.7497144944585252
1,Alabama,2014,3192,1101149,2.8987902636246323
1,Alabama,2015,3605,1104332,3.2644168601471297
1,Alabama,2016,3772,1096454,3.440180801018556
1,Alabama,2017,4095,1086564,3.768760974963279
2,Alaska,2010,887,188186,4.713421827341035
2,Alaska,2011,913,187038,4.881361006854222
2,Alaska,2012,916,183704,4.9862822801898705
2,Alaska,2013,1018,187982,5.415412113925802
2,Alaska,2014,1162,184850,6.286177982147687
2,Alaska,2015,1513,185516,8.155630781172512
2,Alaska,2016,1336,187507,7.1250673308196495
2,Alaska,2017,1328,183804,7.225087593305913
4,Arizona,2010,7891,1625165,4.8555069792913335
4,Arizona,2011,8488,1614520,5.257290092411367
4,Arizona,2012,10663,1613849,6.607185678461864
4,Arizona,2013,10790,1605553,6.720425921785204
4,Arizona,2014,12209,1607764,7.593776200984722
4,Arizona,2015,12722,1613667,7.883906654842666
4,Arizona,2016,11729,1623683,7.223700685417043
4,Arizona,2017,10057,1622233,6.1994793596234326
5,Arkansas,2010,3977,706157,5.631892057998433
5,Arkansas,2011,3856,707338,5.45142491991099
5,Arkansas,2012,3846,706339,5.444977553271164
5,Arkansas,2013,3798,705817,5.38099819074916
5,Arkansas,2014,3542,701656,5.048057737694824
5,Arkansas,2015,4065,702461,5.7867981282946666
5,Arkansas,2016,4103,702647,5.839347495968815
5,Arkansas,2017,3778,704708,5.361085726286632
6,California,2010,33536,9221953,3.636539895616471
6,California,2011,32171,9200991,3.4964711953310244
6,California,2012,31999,9163913,3.4918489514250077
6,California,2013,33757,9096191,3.711113805767711
6,California,2014,33696,9084952,3.7089904272471665
6,California,2015,32205,9048529,3.559142043972009
6,California,2016,31254,9035310,3.4590954820587227
6,California,2017,28016,8993078,3.1152848891113814
8,Colorado,2010,5753,1224714,4.697423235138979
8,Colorado,2011,5300,1222165,4.336566666530296
8,Colorado,2012,5042,1225838,4.113104667990387
8,Colorado,2013,4820,1235297,3.9018956574815613
8,Colorado,2014,4686,1242767,3.7706183057644758
8,Colorado,2015,4926,1251698,3.935454079178844
8,Colorado,2016,5277,1256102,4.20109194953913
8,Colorado,2017,5134,1254566,4.092251822542616
9,Connecticut,2010,2482,812083,3.0563378373885426
9,Connecticut,2011,2320,800114,2.8995868088797345
9,Connecticut,2012,1693,789127,2.145408787178743
9,Connecticut,2013,1810,781141,2.317123285040729
9,Connecticut,2014,1825,769611,2.371327852642439
9,Connecticut,2015,1765,759783,2.323031707737604
9,Connecticut,2016,2040,743796,2.7426875110917512
9,Connecticut,2017,2002,739796,2.7061514255281187
10,Delaware,2010,411,205422,2.000759412331688
10,Delaware,2011,537,204232,2.6293626855732697
10,Delaware,2012,484,203266,2.3811163696830753
10,Delaware,2013,379,203140,1.8657083784582063
10,Delaware,2014,314,200682,1.5646644940752037
10,Delaware,2015,397,203787,1.9481124900018156
10,Delaware,2016,501,202696,2.4716817302758813
10,Delaware,2017,451,201729,2.235672610284094
11,District of Columbia,2010,745,100502,7.412787805217807
11,District of Columbia,2011,558,104831,5.32285297288016
